row_id,market,board_pathway,standard,limb,metric_field,op,value,unit_ccy,or_group,basis_note,rule_citation,official_source_url,effective_from,threshold_verified,review_status,human_signoff,reviewer_notes
MB-S2-3,CN,Main Board,Std 2,latest-FY revenue,financials.income_statement[latest].revenue,>=,"600,000,000",CNY,,,3.1.2(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S2-4,CN,Main Board,Std 2,3-yr aggregate operating cash flow,financials.operating_cash_flow_aggregate_track_record,>=,"250,000,000",CNY,,,3.1.2(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S3-1,CN,Main Board,Std 3,expected market cap,offering.expected_market_cap_at_listing,>=,"10,000,000,000",CNY,,,3.1.2(三),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S3-2,CN,Main Board,Std 3,latest-FY net profit positive,financials.net_profit_regulatory_cn_latest,>,0,CNY,,孰低,3.1.2(三),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S3-3,CN,Main Board,Std 3,latest-FY revenue,financials.income_statement[latest].revenue,>=,"1,000,000,000",CNY,,,3.1.2(三),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-RC-L1,CN,Main Board,3.1.4 red-chip (listed overseas) alt 1,market value,offering.listed_market_value,>=,"200,000,000,000",CNY,,Already-listed red-chip route 1,3.1.4(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,current,pending_text_check,,,
MB-RC-L2,CN,Main Board,3.1.4 red-chip (listed overseas) alt 2,"market value + self-developed internationally leading technology, strong innovation, relative competitive advantage",offering.listed_market_value + tech leaf,>=,"20,000,000,000 + DEFERRED_REVIEW",CNY,,Tech-leadership limb = deferred leaf,3.1.4(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,current,pending_text_check,,,
MB-RC-U1a,CN,Main Board,3.1.5 red-chip (unlisted) alt 1,expected market cap,offering.expected_market_cap_at_listing,>=,"20,000,000,000",CNY,,,3.1.5(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,current,pending_text_check,,,
MB-RC-U1b,CN,Main Board,3.1.5 red-chip (unlisted) alt 1,latest-FY revenue,financials.income_statement[latest].revenue,>=,"3,000,000,000",CNY,,,3.1.5(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,current,pending_text_check,,,
MB-RC-U2,CN,Main Board,3.1.5 red-chip (unlisted) alt 2,fast revenue growth + tech leadership + expected market cap,growth leaf + offering.expected_market_cap_at_listing,>=,"10,000,000,000 + DEFERRED_REVIEW",CNY,,,3.1.5(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,current,pending_text_check,,,
MB-RC-U3,CN,Main Board,3.1.5 red-chip (unlisted) alt 3,"fast revenue growth + tech leadership + expected market cap >= CNY 5,000,000,000 AND latest-FY revenue >= CNY 500,000,000 (pattern-consistent with STAR/ChiNext 2.1.3 — VERBATIM CONFIRMATION STILL REQUIRED)",offering.expected_market_cap_at_listing + financials.income_statement[latest].revenue,>=,"5,000,000,000 + 500,000,000",CNY,,Transcribe verbatim from consolidated rule PDF,3.1.5(三),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,current,pending_text_check,,,
PRC A-SHARE — SSE STAR MARKET (科创板)  |  pack: cn_star.yaml  |  科创板上市规则 2.1.2 (>=1 of 5) + 2.1.4 WVR + 科创属性 roll-up (all 4 cumulative),,,,,,,,,,,,,,,,,
ST-P0a,CN,STAR,2.1.1 structural,post-issue share capital,offering.post_issue_share_capital,>=,"30,000,000",CNY,,,科创板上市规则 2.1.1(二),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-P0b,CN,STAR,2.1.1 structural,publicly OFFERED shares as % of total share capital (公开发行比例),offering.public_float_pct,>=,25% (10% if share capital > CNY 400M),%,,Offering-size condition at IPO — NOT an HK-style ongoing public float; two-tier by post-issue share capital,2.1.1(三),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S1a-1,CN,STAR,Std 1 (branch A),expected market cap,offering.expected_market_cap_at_listing,>=,"1,000,000,000",CNY,,Branch A and B are alternative full branches,2.1.2(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S1a-2,CN,STAR,Std 1 (branch A),net profit positive both last 2 FYs,financials.net_profit_positive_each_year[2fy],=,TRUE,bool,,孰低,2.1.2(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S1a-3,CN,STAR,Std 1 (branch A),2-yr aggregate net profit,financials.net_profit_regulatory_cn_aggregate_2fy,>=,"50,000,000",CNY,,孰低,2.1.2(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S1b-1,CN,STAR,Std 1 (branch B),expected market cap,offering.expected_market_cap_at_listing,>=,"1,000,000,000",CNY,,,2.1.2(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S1b-2,CN,STAR,Std 1 (branch B),latest-FY net profit positive,financials.net_profit_regulatory_cn_latest,>,0,CNY,,孰低,2.1.2(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S1b-3,CN,STAR,Std 1 (branch B),latest-FY revenue,financials.income_statement[latest].revenue,>=,"100,000,000",CNY,,,2.1.2(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S2-1,CN,STAR,Std 2,expected market cap,offering.expected_market_cap_at_listing,>=,"1,500,000,000",CNY,,,2.1.2(二),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S2-2,CN,STAR,Std 2,latest-FY revenue,financials.income_statement[latest].revenue,>=,"200,000,000",CNY,,,2.1.2(二),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S2-3,CN,STAR,Std 2,3-yr R&D / 3-yr revenue,financials.rd_ratio_3fy_cn,>=,15%,%,,CN R&D-ratio definition,2.1.2(二),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S3-1,CN,STAR,Std 3,expected market cap,offering.expected_market_cap_at_listing,>=,"2,000,000,000",CNY,,,2.1.2(三),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S3-2,CN,STAR,Std 3,latest-FY revenue,financials.income_statement[latest].revenue,>=,"300,000,000",CNY,,,2.1.2(三),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S3-3,CN,STAR,Std 3,3-yr aggregate operating cash flow,financials.operating_cash_flow_aggregate_track_record,>=,"100,000,000",CNY,,,2.1.2(三),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S4-1,CN,STAR,Std 4,expected market cap,offering.expected_market_cap_at_listing,>=,"3,000,000,000",CNY,,,2.1.2(四),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S4-2,CN,STAR,Std 4,latest-FY revenue,financials.income_statement[latest].revenue,>=,"300,000,000",CNY,,,2.1.2(四),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S5-1,CN,STAR,Std 5,expected market cap,offering.expected_market_cap_at_listing,>=,"4,000,000,000",CNY,,No profit/revenue/cashflow limbs,2.1.2(五),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-S5-2,CN,STAR,Std 5,qualitative: state approval + market space + staged results (pharma: >=1 core product approved for Phase II),company.star_std5_qualitative,=,DEFERRED_REVIEW,enum,,"requires_llm:false; human adjudication leaf. Sector scope expanded 2025-06-18 (AI, commercial aerospace, low-altitude economy); 2026-06-17 AI large models + SSE 15-clause guideline",2.1.2(五); CSRC 科创板意见 2025-06-18,https://www.gov.cn/lianbo/bumen/202506/content_7028573.htm,2025-06-18,web_verified_2026-07-24,,,
ST-S5-3,CN,STAR,Std 5 (pilot),senior professional institutional investor participation,company.star_std5_sii_present,=,DEFERRED_REVIEW,enum,,"1+6 pilot, analogous to HK 18C pathfinder SII; soft/deferred",CSRC 科创板意见 2025-06-18,https://www.gov.cn/lianbo/bumen/202506/content_7028573.htm,2025-06-18,web_verified_2026-07-24,,,
ST-WVR-1a,CN,STAR,2.1.4 WVR (alt 1),expected market cap,offering.expected_market_cap_at_listing,>=,"10,000,000,000",CNY,,WVR issuers,2.1.4(一),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-WVR-2a,CN,STAR,2.1.4 WVR (alt 2),expected market cap,offering.expected_market_cap_at_listing,>=,"5,000,000,000",CNY,,,2.1.4(二),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-WVR-2b,CN,STAR,2.1.4 WVR (alt 2),latest-FY revenue,financials.income_statement[latest].revenue,>=,"500,000,000",CNY,,,2.1.4(二),https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-RC-L1,CN,STAR,2.1.3 red-chip (listed overseas) alt 1,market value,offering.listed_market_value,>=,"200,000,000,000",CNY,,,2.1.3 via 国办发[2018]21号,https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,pending_text_check,,,
ST-RC-L2,CN,STAR,2.1.3 red-chip (listed overseas) alt 2,"market value + internationally leading self-developed tech, strong sci-tech innovation, relative industry advantage",offering.listed_market_value + tech leaf,>=,"20,000,000,000 + DEFERRED_REVIEW",CNY,,,2.1.3,https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,pending_text_check,,,
ST-RC-U1,CN,STAR,"2.1.3 red-chip (unlisted, fast-growth) alt 1",expected market cap,offering.expected_market_cap_at_listing,>=,"10,000,000,000",CNY,,Requires 'fast revenue growth' — see ST-RC-DEF,2.1.3,https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-RC-U2a,CN,STAR,"2.1.3 red-chip (unlisted, fast-growth) alt 2",expected market cap,offering.expected_market_cap_at_listing,>=,"5,000,000,000",CNY,,,2.1.3,https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-RC-U2b,CN,STAR,"2.1.3 red-chip (unlisted, fast-growth) alt 2",latest-FY revenue,financials.income_statement[latest].revenue,>=,"500,000,000",CNY,,,2.1.3,https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-RC-DEF,CN,STAR,2.1.3 'fast revenue growth' definition,if latest-FY revenue >= CNY 500M: 3-yr revenue CAGR >= 10%; if < CNY 500M: 3-yr revenue CAGR >= 20%,financials.revenue_cagr_3yr,see,10% / 20% by revenue tier,%,,Definition gate feeding ST-RC-U1/U2,2.1.3 note,https://www.sse.com.cn/services/listingwithsse/regulations/star/,current,web_verified_2026-07-24,,,
ST-AT-1a,CN,STAR,科创属性 (i),3-yr R&D ratio,financials.rd_ratio_3fy_cn,>=,5% (software: 10%),%,ST-AT-G1,OR-group with ST-AT-1b; cumulative with (ii)-(iv),科创属性评价指引 (2024修订) 第一条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
ST-AT-1b,CN,STAR,科创属性 (i),3-yr aggregate R&D expenditure,financials.rd_agg_3fy_cn,>=,"80,000,000",CNY,ST-AT-G1,,科创属性评价指引 第一条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
ST-AT-2,CN,STAR,科创属性 (ii),R&D personnel share of headcount,company.rd_personnel_pct,>=,10%,%,,,科创属性评价指引 第一条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
ST-AT-3,CN,STAR,科创属性 (iii),invention patents applied to main business,company.invention_patents_main_business,>=,7,count,,Software industry EXEMPT from this patent indicator; software applies R&D ratio >= 10% instead (see ST-AT-1a),科创属性评价指引 第一条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
ST-AT-4a,CN,STAR,科创属性 (iv),3-yr revenue CAGR,financials.revenue_cagr_3yr,>=,25%,%,ST-AT-G2,OR-group with 4b; EXEMPT for Std-5 applicants & listed-overseas red-chips,科创属性评价指引 第一条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
ST-AT-4b,CN,STAR,科创属性 (iv),latest-FY revenue,financials.income_statement[latest].revenue,>=,"300,000,000",CNY,ST-AT-G2,,科创属性评价指引 第一条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
ST-AT-EX,CN,STAR,科创属性 exceptional alternative,issuer not meeting the 4 indicators may still qualify via: state-recognized internationally-leading core tech; national science/tech awards as principal participant; lead role in national major sci-tech special projects,company.star_attributes_exceptional,=,DEFERRED_REVIEW,enum,,"Alternative route, human adjudication",科创属性评价指引 第二条,https://www.sse.com.cn/services/listingwithsse/regulations/star/,2024-04-30,web_verified_2026-07-24,,,
"PRC A-SHARE — SZSE ChiNext (创业板)  |  pack: cn_chinext.yaml  |  创业板上市规则(2026年修订) 2.1.2 — meet >=1 of 4 standards (Std 4 NEW, added 2026-04; Std 3 activated for unprofitable issuers 2025-06) + 2.1.4 WVR",,,,,,,,,,,,,,,,,
CX-P0a,CN,ChiNext,structural,post-issue share capital,offering.post_issue_share_capital,>=,"30,000,000",CNY,,,创业板上市规则 2.1.1,https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-P0b,CN,ChiNext,structural,publicly OFFERED shares as % of total share capital (公开发行比例),offering.public_float_pct,>=,25% (10% if share capital > CNY 400M),%,,Offering-size condition at IPO — NOT an HK-style ongoing public float; two-tier by post-issue share capital,2.1.1,https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S1-1,CN,ChiNext,Std 1,net profit positive both last 2 FYs,financials.net_profit_positive_each_year[2fy],=,TRUE,bool,,孰低,2.1.2(一),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S1-2,CN,ChiNext,Std 1,2-yr aggregate net profit,financials.net_profit_regulatory_cn_aggregate_2fy,>=,"100,000,000",CNY,,孰低,2.1.2(一),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S1-3,CN,ChiNext,Std 1,latest-FY net profit,financials.net_profit_regulatory_cn_latest,>=,"60,000,000",CNY,,孰低,2.1.2(一),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S2-1,CN,ChiNext,Std 2,expected market cap,offering.expected_market_cap_at_listing,>=,"1,500,000,000",CNY,,,2.1.2(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S2-2,CN,ChiNext,Std 2,latest-FY net profit positive,financials.net_profit_regulatory_cn_latest,>,0,CNY,,孰低,2.1.2(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S2-3,CN,ChiNext,Std 2,latest-FY revenue,financials.income_statement[latest].revenue,>=,"400,000,000",CNY,,,2.1.2(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S3-1,CN,ChiNext,Std 3,expected market cap,offering.expected_market_cap_at_listing,>=,"5,000,000,000",CNY,,Activated for unprofitable issuers 2025-06; industry-scope leaf CX-S3-3,2.1.2(三),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S3-2,CN,ChiNext,Std 3,latest-FY revenue,financials.income_statement[latest].revenue,>=,"300,000,000",CNY,,,2.1.2(三),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2024-04-30,web_verified_2026-07-24,,,
CX-S3-3,CN,ChiNext,Std 3 (if unprofitable),industry scope fit (advanced mfg / internet / big data / cloud / AI / biopharma etc.),company.chinext_std3_industry_fit,=,DEFERRED_REVIEW,enum,,Industry scope NOT in the rule text — lives in 申报及推荐暂行规定 / 2025-06 activation arrangements; transcribe from that document at encode,SZSE 2025-06 activation; 申报及推荐暂行规定,https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2025-06,pending_text_check,,,
CX-S4a-1,CN,ChiNext,Std 4 (branch A) NEW 2026,expected market cap,offering.expected_market_cap_at_listing,>=,"3,000,000,000",CNY,,2026-04 revision added Std 4,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S4a-2,CN,ChiNext,Std 4 (branch A),latest-FY revenue,financials.income_statement[latest].revenue,>=,"200,000,000",CNY,,,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S4a-3,CN,ChiNext,Std 4 (branch A),3-yr revenue CAGR,financials.revenue_cagr_3yr,>=,30%,%,,,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S4b-1,CN,ChiNext,Std 4 (branch B),expected market cap,offering.expected_market_cap_at_listing,>=,"4,000,000,000",CNY,,,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S4b-2,CN,ChiNext,Std 4 (branch B),latest-FY revenue,financials.income_statement[latest].revenue,>=,"200,000,000",CNY,,,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S4b-3,CN,ChiNext,Std 4 (branch B),3-yr aggregate R&D expenditure,financials.rd_agg_3fy_cn,>=,"100,000,000",CNY,,,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-S4b-4,CN,ChiNext,Std 4 (branch B),3-yr R&D / 3-yr revenue,financials.rd_ratio_3fy_cn,>=,15%,%,,,2.1.2(四),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
CX-WVR-1a,CN,ChiNext,2.1.4 WVR (alt 1),expected market cap,offering.expected_market_cap_at_listing,>=,"10,000,000,000",CNY,,VERBATIM 2026 rule PDF: '（一）预计市值不低于100亿元' — NO profit limb; earlier secondary sources adding one were WRONG (see log Q-10),2.1.4(一),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,current,web_verified_2026-07-24,,,
CX-WVR-2a,CN,ChiNext,2.1.4 WVR (alt 2),expected market cap,offering.expected_market_cap_at_listing,>=,"5,000,000,000",CNY,,VERBATIM: '（二）预计市值不低于50亿元，且最近一年营业收入不低于5亿元',2.1.4(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,current,web_verified_2026-07-24,,,
CX-WVR-2c,CN,ChiNext,2.1.4 WVR (alt 2),latest-FY revenue,financials.income_statement[latest].revenue,>=,"500,000,000",CNY,,,2.1.4(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,current,web_verified_2026-07-24,,,
CX-RC-U1,CN,ChiNext,"2.1.3 red-chip (unlisted, fast-growth) alt 1",expected market cap,offering.expected_market_cap_at_listing,>=,"10,000,000,000",CNY,,Verbatim from 2026 rule PDF; requires 'fast revenue growth' + self-developed internationally leading tech + relative industry advantage — see CX-RC-DEF,2.1.3(一),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,current,web_verified_2026-07-24,,,
CX-RC-U2a,CN,ChiNext,"2.1.3 red-chip (unlisted, fast-growth) alt 2",expected market cap,offering.expected_market_cap_at_listing,>=,"5,000,000,000",CNY,,,2.1.3(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,current,web_verified_2026-07-24,,,
CX-RC-U2b,CN,ChiNext,"2.1.3 red-chip (unlisted, fast-growth) alt 2",latest-FY revenue,financials.income_statement[latest].revenue,>=,"500,000,000",CNY,,,2.1.3(二),https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,current,web_verified_2026-07-24,,,
CX-RC-DEF,CN,ChiNext,2.1.3 'fast revenue growth' definition,one of: (i) latest-FY revenue >= CNY 500M with 3-yr CAGR >= 10%; (ii) latest-FY revenue < CNY 500M with 3-yr CAGR >= 20%; (iii) industry in down-cycle: issuer 3-yr CAGR above comparable-company average,financials.revenue_cagr_3yr (+ comparable benchmark leaf for limb iii),see,10% / 20% / above-peer-average,%,,EXEMPTION: R&D-stage red-chips and red-chips of major significance to national innovation-driven development strategy are EXEMPT from the fast-growth requirement (deferred leaf),2.1.3 note,https://docs.static.szse.cn/www/lawrules/rule/stock/supervision/chinext/W020260424688875101057.pdf,2026-04,web_verified_2026-07-24,,,
PRC A-SHARE — BEIJING STOCK EXCHANGE (北交所)  |  pack: cn_bse.yaml  |  北交所股票上市规则 2.1.2 structural + 2.1.3 (>=1 of 4). 预计市值 = 以公开发行价格计算,,,,,,,,,,,,,,,,,
BJ-P0a,CN,BSE,2.1.2 structural,NEEQ innovation-layer continuous quotation,profile.neeq_innovation_layer_months,>=,12,months,,Basic + innovation layer time cumulates,北交所上市规则 2.1.2(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-P0b,CN,BSE,2.1.2 structural,latest FY-end net assets,financials.balance_sheet[latest].net_assets,>=,"50,000,000",CNY,,,2.1.2(三),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-P0c,CN,BSE,2.1.2 structural,public offering size,offering.public_offering_shares / subscribers,>=,"1,000,000 shares AND 100 subscribers",mixed,,,2.1.2(四),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-P0d,CN,BSE,2.1.2 structural,post-offering share capital,offering.post_issue_share_capital,>=,"30,000,000",CNY,,,2.1.2(五),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-P0e,CN,BSE,2.1.2 structural,post-offering shareholders,offering.post_offering_shareholders,>=,200,count,,,2.1.2(六),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-P0f,CN,BSE,2.1.2 structural,public float,offering.public_float_pct,>=,25% (10% if share capital > CNY 400M),%,,,2.1.2(六),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S1a-1,CN,BSE,Std 1 (branch A),expected market cap,offering.expected_market_cap_at_listing,>=,"200,000,000",CNY,,,2.1.3(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
